event_id,logged,level,user,log_name,opcode,task_category,computer,keyword
4672,2026-04-24 08:43:12,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:43:12,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
5379,2026-04-24 08:33:38,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:33:37,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:33:37,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:32:54,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:32:54,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4799,2026-04-24 08:31:05,Audit Success,N/A,Security,Info,A security-enabled local group membership was enumerated.,DESKTOP-8LN1BLF,Audit Success
4799,2026-04-24 08:31:05,Audit Success,N/A,Security,Info,A security-enabled local group membership was enumerated.,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:31:00,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:31:00,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:22:31,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:22:31,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:18:49,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:18:49,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:17:54,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:17:54,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:13:59,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4672,2026-04-24 08:13:49,Audit Success,N/A,Security,Info,Special Logon,DESKTOP-8LN1BLF,Audit Success
4624,2026-04-24 08:13:49,Audit Success,N/A,Security,Info,Logon,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:56,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:12:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:11:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:11:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:11:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:11:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
4798,2026-04-24 08:11:50,Audit Success,N/A,Security,Info,User Account Management,DESKTOP-8LN1BLF,Audit Success
